iso_code,continent,location,date,total_cases,new_cases_per_million,new_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,people_fully_vaccinated_per_hundred,population,life_expectancy,gdp_per_capita
CAN,North America,Canada,2021-01-01,596582.0,164.689,2.158,20.232,108.596,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-02,602396.0,151.192,2.679,20.622,114.109,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-03,612021.0,250.297,1.82,20.908,117.438,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-04,621738.0,252.689,6.033,21.818,119.44,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-05,629266.0,195.765,3.797,22.156,121.417,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-06,638177.0,231.729,3.537,22.052,121.209,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-07,647408.0,240.051,4.759,22.052,121.651,0.0,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-08,656298.0,231.183,3.381,22.364,120.585,0.01,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-09,663188.0,179.174,3.381,22.26,121.911,0.01,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-10,669592.0,166.535,3.017,22.494,126.41,0.01,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-11,677012.0,192.956,3.251,22.91,128.204,0.01,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-12,683815.0,176.911,3.849,23.092,127.944,0.01,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-13,690906.0,184.401,4.707,23.482,128.152,0.03,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-14,697925.0,182.528,3.823,23.248,126.67,0.04,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-15,704874.0,180.708,4.603,23.118,124.251,0.05,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-16,710675.0,150.854,2.965,22.91,122.717,0.05,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-17,715559.0,127.008,3.641,22.832,124.277,0.06,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-18,721604.0,157.199,3.251,22.702,123.445,0.06,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-19,726920.0,138.242,3.589,22.78,120.481,0.06,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-20,732754.0,151.712,4.889,22.364,118.686,0.1,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-21,738597.0,151.946,3.641,22.078,116.294,0.11,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-22,744265.0,147.396,4.577,22.78,114.499,0.13,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-23,748567.0,111.873,3.043,22.702,111.093,0.14,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-24,752507.0,102.459,3.381,22.702,111.457,0.15,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-25,757859.0,139.178,3.277,22.104,109.324,0.17,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-26,762223.0,113.485,3.719,22.234,106.1,0.19,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-27,766674.0,115.748,2.21,21.662,103.993,0.22,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-28,771318.0,120.767,5.201,21.922,102.225,0.24,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-29,776006.0,121.911,3.563,21.116,97.18,0.27,38454328.0,82.43,44017.591
CAN,North America,Canada,2021-01-30,779709.0,96.296,3.667,20.96,96.27,0.29,38454328.0,82.43,44017.591
