municipality,people_insured,year,pharma_costs,gp_consultation_costs,hospital_costs,mental_healthcare_costs
AA EN HUNZE,25920,2011,7347248.98,941197.14,30108061.79,
AALBURG,12706,2011,3660992.89,465363.81,12886472.81,
AALSMEER,30488,2011,8632526.14,1055837.7,29502981.47,
AALTEN,27133,2011,8195044.16,1084935.42,31700069.08,
ACHTKARSPELEN,28294,2011,8174991.96,967107.65,30988891.3,
ALBLASSERDAM,19262,2011,6039911.09,903772.36,21133823.26,
ALBRANDSWAARD,25103,2011,6723184.29,892375.31,26654213.96,
ALKMAAR,106675,2011,29994363.96,3601102.4,118931874.2,
ALMELO,73233,2011,23768079.3,2644277.01,87016053.9,
ALMERE,193086,2011,51787812.26,7131827.69,209602445.9,
ALPHEN AAN DEN RIJN,107307,2011,30252519.51,3933885.13,114726863,
ALPHEN-CHAAM,9583,2011,2482266.89,394240.54,10100075.14,
AMELAND,3540,2011,842639.13,162527.25,3408410.79,
AMERSFOORT,148697,2011,40411623.15,4999829.2,153065687,
AMSTELVEEN,81718,2011,24613496.3,2545384.79,91364794.36,
AMSTERDAM,781290,2011,261746814.9,26754487.23,812704678.2,
APELDOORN,157505,2011,48440862.34,5254928.72,189884104.4,
APPINGEDAM,12175,2011,4663195.08,554119,16480151.46,
ARNHEM,148182,2011,44926876.49,5586078.17,170121538.6,
ASSEN,67365,2011,19134699.67,2398566.57,71454772.76,
ASTEN,16410,2011,4505199.66,608237.5,18480241.56,
BAARLE-NASSAU,6688,2011,2494404.52,284433.47,8222489.76,
BAARN,24666,2011,7711722.28,898320.55,30199732.17,
BARENDRECHT,47336,2011,12733167.49,1613222.44,51396991.58,
BARNEVELD,52790,2011,13719653.26,1850103.45,51215481.12,
BEDUM,10591,2011,2972378.93,340251.08,10795836.69,
BEEK,16417,2011,5885009.99,745996.9,18857846.48,
BEEMSTER,8779,2011,2054813.94,273725.66,9543891.1,
BEESEL,13733,2011,4439612.14,519474.91,16875054.71,
BELLINGWEDDE,9131,2011,3280175.69,349558.33,12484402.24,
BERG EN DAL,34491,2011,11151016.82,1362264.74,44213571.22,
BERGEIJK,18308,2011,4998975.93,705334.84,21662816.17,
BERGEN LB,13262,2011,4489585.2,639416.46,15649594.48,
BERGEN NH,31077,2011,9261972.55,1174654.13,37725049.16,
BERGEN OP ZOOM,66918,2011,24376725.51,2396591.5,77899049.08,
BERKELLAND,45182,2011,13636383.96,1510709.7,52927160.34,
BERNHEZE,30181,2011,8941068.06,1144478.16,34137908.21,
BEST,28760,2011,8573543.48,1065329.52,30402525.71,
BEUNINGEN,25903,2011,6828568.86,1006847.91,27333908.47,
BEVERWIJK,40180,2011,13516727.94,1450863.17,49763582.1,
BINNENMAAS,28894,2011,8439266.93,1031784.4,32834135.08,
BLADEL,19950,2011,6228290.8,716790.63,21987760.48,
BLARICUM,9181,2011,2962565.39,350405.41,11432342.01,
BLOEMENDAAL,22460,2011,6875621.87,885079.39,26773839.93,
BODEGRAVEN-REEUWIJK,33210,2011,9131724.94,1088838.69,35529788.2,
BOEKEL,9968,2011,2673272.68,348247.63,10633979.55,
BORGER-ODOORN,26041,2011,8678080.15,1086096.99,30937008.45,
BORNE,21572,2011,6682373.75,725333.54,26575049.39,
BORSELE,22671,2011,6063819.61,653193.07,21629362.08,
BOXMEER,28756,2011,8604555.04,1017619.34,33566263.26,
BOXTEL,30473,2011,8514947.2,1134741.85,33207254.02,
BREDA,175664,2011,52588769.23,6584636.83,192031970.7,
BRIELLE,16216,2011,5533024.94,541614.01,18953850.9,
BRONCKHORST,37888,2011,11995913.01,1359756.41,43495131.95,
BRUMMEN,21451,2011,6886055.11,801814.09,25185654.08,
BRUNSSUM,29480,2011,11730884.42,1127508.8,40046670.68,
BUNNIK,14610,2011,4230084.98,499533,16564609.5,
BUNSCHOTEN,20678,2011,5501198.82,726194.24,22867741.36,
BUREN,25978,2011,7388723.53,882333.03,30288345.24,
CAPELLE AAN DEN IJSSEL,66748,2011,21199689.03,2637234.42,85376453.73,
CASTRICUM,34840,2011,10565383.03,1389965.1,36846853.1,
COEVORDEN,35882,2011,11293730.25,1408710.3,46362194.63,
CRANENDONCK,20357,2011,6814134.53,692514.42,26742025.18,
CROMSTRIJEN,12914,2011,4341384.57,489696.4,15156346.08,
CUIJK,25121,2011,7538053.9,906634.97,29193845.09,
